date,disease,wikipedia_pageviews
2023-12-01,dengue,2801
2024-01-01,dengue,6645
2024-02-01,dengue,26504
2024-03-01,dengue,26547
2024-04-01,dengue,18992
2024-05-01,dengue,9988
2024-06-01,dengue,4343
2024-07-01,dengue,36405
2024-08-01,dengue,3822
2024-09-01,dengue,2528
2024-10-01,dengue,2886
2024-11-01,dengue,2770
2024-12-01,dengue,1859
2025-01-01,dengue,2573
2025-02-01,dengue,4167
2025-03-01,dengue,5126
2025-04-01,dengue,5480
2025-05-01,dengue,4996
2025-06-01,dengue,3434
2025-07-01,dengue,1946
2025-08-01,dengue,2474
2025-09-01,dengue,3010
2025-10-01,dengue,2601
2025-11-01,dengue,2121
2025-12-01,dengue,3330
2026-01-01,dengue,142
2023-12-01,chikungunya,3325
2024-01-01,chikungunya,5966
2024-02-01,chikungunya,9697
2024-03-01,chikungunya,12047
2024-04-01,chikungunya,6855
2024-05-01,chikungunya,3613
2024-06-01,chikungunya,1503
2024-07-01,chikungunya,997
2024-08-01,chikungunya,939
2024-09-01,chikungunya,657
2024-10-01,chikungunya,697
2024-11-01,chikungunya,798
2024-12-01,chikungunya,808
2025-01-01,chikungunya,1169
2025-02-01,chikungunya,1240
2025-03-01,chikungunya,1650
2025-04-01,chikungunya,1828
2025-05-01,chikungunya,1828
2025-06-01,chikungunya,1967
2025-07-01,chikungunya,2003
2025-08-01,chikungunya,2824
2025-09-01,chikungunya,1523
2025-10-01,chikungunya,1528
2025-11-01,chikungunya,1230
2025-12-01,chikungunya,1116
2026-01-01,chikungunya,25
2023-12-01,zika,159
2024-01-01,zika,245
2024-02-01,zika,393
2024-03-01,zika,461
2024-04-01,zika,311
2024-05-01,zika,242
2024-06-01,zika,210
2024-07-01,zika,205
2024-08-01,zika,194
2024-09-01,zika,136
2024-10-01,zika,122
2024-11-01,zika,89
2024-12-01,zika,143
2025-01-01,zika,142
2025-02-01,zika,119
2025-03-01,zika,184
2025-04-01,zika,180
2025-05-01,zika,200
2025-06-01,zika,196
2025-07-01,zika,104
2025-08-01,zika,156
2025-09-01,zika,136
2025-10-01,zika,115
2025-11-01,zika,168
2025-12-01,zika,121
2026-01-01,zika,4
