date,dengue,fever,sintomas_de_dengue,sinan_notified_cases
2023-12-31,11,1,2,3824
2024-01-07,14,1,2,4793
2024-01-14,15,1,2,6977
2024-01-21,20,1,3,8979
2024-01-28,39,1,5,11833
2024-02-04,69,1,9,16667
2024-02-11,81,1,13,22670
2024-02-18,100,1,13,27026
2024-02-25,96,1,10,26532
2024-03-03,75,1,9,24399
2024-03-10,62,1,8,22471
2024-03-17,49,1,6,18436
2024-03-24,35,0,5,12621
2024-03-31,36,1,5,14833
2024-04-07,32,1,5,12472
2024-04-14,30,1,4,10085
2024-04-21,26,1,3,8112
2024-04-28,22,1,3,7886
2024-05-05,19,1,2,7186
2024-05-12,17,1,2,5803
2024-05-19,15,1,2,4941
2024-05-26,11,1,1,2910
2024-06-02,10,1,1,2587
2024-06-09,9,1,1,2107
2024-06-16,8,1,1,1717
2024-06-23,8,1,1,1410
2024-06-30,6,1,1,1162
2024-07-07,5,1,1,847
2024-07-14,4,1,1,863
2024-07-21,4,1,1,736
2024-07-28,4,1,0,660
2024-08-04,4,1,0,541
2024-08-11,3,1,0,462
2024-08-18,4,1,0,499
2024-08-25,3,1,0,431
2024-09-01,4,1,0,515
2024-09-08,4,1,0,581
2024-09-15,3,1,0,419
2024-09-22,3,1,0,391
2024-09-29,3,1,0,357
2024-10-06,3,1,0,355
2024-10-13,4,1,0,326
2024-10-20,4,1,0,394
2024-10-27,4,1,0,376
2024-11-03,4,1,0,411
2024-11-10,4,1,0,325
2024-11-17,4,1,0,299
2024-11-24,4,1,1,369
2024-12-01,4,1,0,379
2024-12-08,4,1,0,404
2024-12-15,4,1,0,289
2024-12-22,5,1,1,144
2024-12-29,5,1,1,0
